Ruuvi 0233
Дата,ISO8601,Цельсий,Фаренгейт,Кельвин,Относительная Влажность (%),Абсолютная Влажность (г/м³),Точка Росы (°C),Точка Росы (°F),Точка Росы (K),Давление (гПа),Ускорение по X,Ускорение по Y,Ускорение по Z,Напряжение Батареи,Счетчик Движения,Порядковый Номер Измерения,Мощность Передачи
2020-10-08 17:46:31,2020-10-08T14:46:31.805Z,24.83,76.69,297.98,54.46,12.43,15.03,59.06,288.18,990.00,-0.648,0.616,-0.460,2.173,0,500,4
2020-10-08 17:46:31,2020-10-08T14:46:31.834Z,24.83,76.69,297.98,54.46,12.43,15.03,59.06,288.18,990.00,-0.640,0.624,-0.460,2.173,0,501,4
2020-10-08 18:13:40,2020-10-08T15:13:40.431Z,28.32,82.98,301.47,46.09,12.77,15.64,60.15,288.79,990.31,0.148,-0.060,0.988,2.946,4,187,4
2020-10-08 18:18:46,2020-10-08T15:18:46.251Z,27.89,82.20,301.04,46.94,12.70,15.53,59.95,288.68,990.29,0.156,-0.076,0.984,2.946,4,425,4
2020-10-08 19:31:18,2020-10-08T16:31:18.054Z,28.27,82.89,301.42,45.84,12.66,15.50,59.91,288.65,990.03,0.020,0.008,0.992,2.953,6,861,4
2020-10-09 11:41:27,2020-10-09T08:41:27.000Z,26.82,80.28,299.97,47.94,12.23,14.88,58.79,288.03,989.87,-,-,-,-,-,-,-
2020-10-09 11:41:28,2020-10-09T08:41:28.000Z,26.82,80.28,299.97,47.64,12.15,14.79,58.62,287.94,989.87,-,-,-,-,-,-,-
2020-10-09 11:41:29,2020-10-09T08:41:29.000Z,26.82,80.28,299.97,47.62,12.14,14.78,58.60,287.93,989.87,-,-,-,-,-,-,-
2020-10-09 11:41:30,2020-10-09T08:41:30.000Z,26.82,80.28,299.97,47.64,12.15,14.79,58.62,287.94,989.87,-,-,-,-,-,-,-
2020-10-09 11:41:31,2020-10-09T08:41:31.000Z,26.82,80.28,299.97,47.67,12.16,14.80,58.63,287.95,989.87,-,-,-,-,-,-,-
2020-10-09 11:41:32,2020-10-09T08:41:32.000Z,26.82,80.28,299.97,47.53,12.12,14.75,58.55,287.90,989.87,-,-,-,-,-,-,-
2020-10-09 11:41:33,2020-10-09T08:41:33.000Z,26.82,80.28,299.97,47.44,12.10,14.72,58.50,287.87,989.87,-,-,-,-,-,-,-
2020-10-09 11:41:35,2020-10-09T08:41:35.000Z,26.82,80.28,299.97,47.39,12.09,14.70,58.47,287.85,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:36,2020-10-09T08:41:36.000Z,26.82,80.28,299.97,47.28,12.06,14.67,58.40,287.82,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:37,2020-10-09T08:41:37.000Z,26.82,80.28,299.97,47.34,12.07,14.69,58.44,287.84,989.87,-,-,-,-,-,-,-
2020-10-09 11:41:38,2020-10-09T08:41:38.000Z,26.82,80.28,299.97,47.42,12.09,14.71,58.49,287.86,989.87,-,-,-,-,-,-,-
2020-10-09 11:41:39,2020-10-09T08:41:39.000Z,26.82,80.28,299.97,47.43,12.10,14.72,58.49,287.87,989.87,-,-,-,-,-,-,-
2020-10-09 11:41:40,2020-10-09T08:41:40.000Z,26.82,80.28,299.97,47.37,12.08,14.70,58.46,287.85,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:41,2020-10-09T08:41:41.000Z,26.82,80.28,299.97,47.32,12.07,14.68,58.43,287.83,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:42,2020-10-09T08:41:42.000Z,26.82,80.28,299.97,47.28,12.06,14.67,58.40,287.82,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:43,2020-10-09T08:41:43.000Z,26.82,80.28,299.97,47.32,12.07,14.68,58.43,287.83,989.87,-,-,-,-,-,-,-
2020-10-09 11:41:45,2020-10-09T08:41:45.000Z,26.82,80.28,299.97,47.33,12.07,14.69,58.43,287.84,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:46,2020-10-09T08:41:46.000Z,26.82,80.28,299.97,47.40,12.09,14.71,58.47,287.86,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:47,2020-10-09T08:41:47.000Z,26.82,80.28,299.97,47.43,12.10,14.72,58.49,287.87,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:48,2020-10-09T08:41:48.000Z,26.82,80.28,299.97,47.37,12.08,14.70,58.46,287.85,989.87,-,-,-,-,-,-,-
2020-10-09 11:41:49,2020-10-09T08:41:49.000Z,26.82,80.28,299.97,47.33,12.07,14.69,58.43,287.84,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:50,2020-10-09T08:41:50.000Z,26.82,80.28,299.97,47.36,12.08,14.69,58.45,287.84,989.87,-,-,-,-,-,-,-
2020-10-09 11:41:51,2020-10-09T08:41:51.000Z,26.82,80.28,299.97,47.41,12.09,14.71,58.48,287.86,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:52,2020-10-09T08:41:52.000Z,26.82,80.28,299.97,47.41,12.09,14.71,58.48,287.86,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:53,2020-10-09T08:41:53.000Z,26.82,80.28,299.97,47.37,12.08,14.70,58.46,287.85,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:54,2020-10-09T08:41:54.000Z,26.82,80.28,299.97,47.29,12.06,14.67,58.41,287.82,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:56,2020-10-09T08:41:56.000Z,26.82,80.28,299.97,47.32,12.07,14.68,58.43,287.83,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:57,2020-10-09T08:41:57.000Z,26.82,80.28,299.97,47.32,12.07,14.68,58.43,287.83,989.88,-,-,-,-,-,-,-
2020-10-09 11:41:58,2020-10-09T08:41:58.000Z,26.82,80.28,299.97,47.29,12.06,14.67,58.41,287.82,989.87,-,-,-,-,-,-,-
2020-10-09 11:41:59,2020-10-09T08:41:59.000Z,26.82,80.28,299.97,47.35,12.08,14.69,58.44,287.84,989.87,-,-,-,-,-,-,-
2020-10-09 11:42:00,2020-10-09T08:42:00.000Z,26.82,80.28,299.97,47.37,12.08,14.70,58.46,287.85,989.87,-,-,-,-,-,-,-
2020-10-09 11:42:01,2020-10-09T08:42:01.000Z,26.82,80.28,299.97,47.38,12.08,14.70,58.46,287.85,989.88,-,-,-,-,-,-,-
2020-10-09 11:42:02,2020-10-09T08:42:02.000Z,26.82,80.28,299.97,47.37,12.08,14.70,58.46,287.85,989.87,-,-,-,-,-,-,-
2020-10-09 11:42:03,2020-10-09T08:42:03.000Z,26.82,80.28,299.97,47.36,12.08,14.69,58.45,287.84,989.87,-,-,-,-,-,-,-
2020-10-09 11:42:04,2020-10-09T08:42:04.000Z,26.82,80.28,299.97,47.41,12.09,14.71,58.48,287.86,989.88,-,-,-,-,-,-,-
2020-10-09 11:42:06,2020-10-09T08:42:06.000Z,26.82,80.28,299.97,47.41,12.09,14.71,58.48,287.86,989.88,-,-,-,-,-,-,-
2020-10-09 11:42:07,2020-10-09T08:42:07.000Z,26.82,80.28,299.97,47.42,12.09,14.71,58.49,287.86,989.88,-,-,-,-,-,-,-
2020-10-09 11:42:08,2020-10-09T08:42:08.000Z,26.82,80.28,299.97,47.44,12.10,14.72,58.50,287.87,989.88,-,-,-,-,-,-,-
2020-10-09 11:42:09,2020-10-09T08:42:09.000Z,26.82,80.28,299.97,47.45,12.10,14.72,58.50,287.87,989.88,-,-,-,-,-,-,-
2020-10-09 11:42:10,2020-10-09T08:42:10.000Z,26.83,80.29,299.98,47.41,12.10,14.72,58.50,287.87,989.88,-,-,-,-,-,-,-
2020-10-09 11:42:11,2020-10-09T08:42:11.000Z,26.83,80.29,299.98,47.34,12.08,14.70,58.46,287.85,989.88,-,-,-,-,-,-,-
2020-10-09 11:42:12,2020-10-09T08:42:12.000Z,26.83,80.29,299.98,47.35,12.08,14.70,58.46,287.85,989.88,-,-,-,-,-,-,-
2020-10-09 11:42:13,2020-10-09T08:42:13.000Z,26.83,80.29,299.98,47.29,12.07,14.68,58.43,287.83,989.88,-,-,-,-,-,-,-
2020-10-09 11:42:14,2020-10-09T08:42:14.000Z,26.83,80.29,299.98,47.16,12.03,14.64,58.35,287.79,989.88,-,-,-,-,-,-,-
2020-10-09 11:42:15,2020-10-09T08:42:15.000Z,26.83,80.29,299.98,47.09,12.02,14.62,58.31,287.77,989.88,-,-,-,-,-,-,-
2020-10-09 11:42:17,2020-10-09T08:42:17.000Z,26.83,80.29,299.98,47.08,12.01,14.61,58.30,287.76,989.88,-,-,-,-,-,-,-
2020-10-09 11:42:18,2020-10-09T08:42:18.000Z,26.83,80.29,299.98,47.07,12.01,14.61,58.30,287.76,989.87,-,-,-,-,-,-,-
